route,latitude,longitude,speed,event_type,severity,confidence,pawar_prob,gyro_peak,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
C,30.668518787640522,76.72986448910764,15.216393541386282,Speed Bump,7.025327,0.65,0.9072802662849426,0.34256712101817344,3.914084968566895,4.867574157714843,2.137688159942627,4.867574157714843,41
C,30.668751443239493,76.72968327519723,15.461672204943598,Speed Bump,6.686504,0.65,0.9709404706954956,0.22059021790133354,4.823357639312745,3.534772338867187,1.608597755432129,4.823357639312745,42
C,30.66898768743917,76.72950467695576,16.16131332145671,Speed Bump,6.763074,0.65,0.9999992847442627,0.2647963993460746,4.129438934326172,4.324403228759765,2.368495464324951,4.324403228759765,43
C,30.66924823097862,76.72931291546116,17.15637829764361,Speed Bump,10.0,0.65,1.0,0.35560920608970215,7.177895126342774,5.75052589416504,2.428699493408203,7.177895126342774,44
C,30.669511573319582,76.72911789100239,17.826669377059943,Speed Bump,9.092726,0.65,0.9773032069206238,0.17269393916907808,5.589060840606689,5.776846351623535,1.668283224105835,5.776846351623535,45
C,30.669781341513946,76.72891251828838,17.433150977196025,Speed Bump,7.5421767,0.65,0.8136882185935974,0.2534531557661264,4.21318775177002,5.21453327178955,2.305603265762329,5.21453327178955,46
C,30.67003969492833,76.72871089802442,16.73197362701066,Speed Bump,10.0,0.65,1.0,0.5469630657375456,10.489561614990235,13.259202423095703,3.101861953735352,13.259202423095703,47
C,30.670518376373064,76.72834585871283,15.849178601087656,Speed Bump,10.0,0.65,0.978359043598175,0.29043469421595564,7.5128901576995855,6.513835372924804,3.123021125793457,7.5128901576995855,48
C,30.670984452362863,76.72798611702379,15.012392929948724,Speed Bump,10.0,0.65,0.9999966621398926,0.345144321663779,6.352371273040772,7.638463439941406,2.291550636291504,7.638463439941406,49
D,30.672918769425582,76.72649326543366,3.3203141242060803,Speed Bump,4.100341,0.65,0.9963822364807129,0.3323752382842249,2.624353466033936,2.5010723495483393,1.57197368144989,2.624353466033936,50
D,30.672985271331076,76.72643347198942,5.449396294997585,Speed Bump,4.5789056,0.65,0.9999514818191528,0.6106037644792841,2.521462020874024,3.2021698379516597,1.338250756263733,3.2021698379516597,50
D,30.67307982005872,76.72635585513486,7.0713685223819045,Pothole,9.312346,1.0,1.0,1.3581607796165562,4.246687469482422,5.709847869873048,3.6073014736175537,5.709847869873048,137
D,30.673203523331015,76.72626508645618,8.831053926723369,Speed Bump,9.165468,0.65,0.9999630451202393,0.623774878309466,4.5553613281250005,6.90147346496582,2.0076167583465576,6.90147346496582,51
D,30.67334242656155,76.72616058649957,9.271813451001872,Speed Bump,7.090412,0.65,0.9998815059661865,0.42872782820046684,4.430934486389161,4.432080688476562,1.9510968923568728,4.432080688476562,51
D,30.673488595518915,76.7260453037625,10.068496937671526,Speed Bump,6.962157,0.65,1.0,0.3487653986421698,4.418970642089844,4.283725204467771,1.1626226902008057,4.418970642089844,51
D,30.67363960406342,76.72591951451933,10.56836967847161,Speed Bump,6.51422,0.65,0.9036818146705627,0.2827300340980662,5.266029891967774,2.876745643615724,2.052942514419556,5.266029891967774,52
D,30.673913989633025,76.72570039545322,7.858475181321794,Speed Bump,4.5214777,0.65,0.624370276927948,0.17139971512889796,2.9904556846618657,2.661391677856443,1.661911129951477,2.9904556846618657,53
D,30.67402581493337,76.72561071564195,7.321005769858772,Speed Bump,6.623333,0.65,0.5947244763374329,0.4284799362531465,4.201223907470704,4.077942314147949,1.5115187168121338,4.201223907470704,53
D,30.674132767429594,76.72552217961032,7.507339858527001,Speed Bump,6.8855867,0.65,0.912372887134552,0.4200267602342,5.701523361206055,2.905459823608398,1.73114275932312,5.701523361206055,53
D,30.67424120888324,76.72543053558283,7.40411793014781,Pothole,10.0,0.95,1.0,2.0488061126579837,25.978302536010744,32.124215545654295,4.544564247131348,32.124215545654295,138
D,30.674356327352086,76.72533659685331,8.244239981317783,Speed Bump,10.0,0.65,0.997015118598938,0.6859896993015895,7.405213174819947,6.942151489257812,2.597226619720459,7.405213174819947,54
D,30.674893573853176,76.72486838901243,9.426111873738751,Speed Bump,6.03757,0.65,0.9993267059326172,0.3426506954913747,3.55276876449585,3.994193496704101,2.2042722702026367,3.994193496704101,55
D,30.67503445565266,76.72474978526226,9.560482166617827,Speed Bump,5.1455255,0.65,0.9230549335479736,0.14092932366146643,3.2799869155883794,3.151919784545898,2.2587451934814453,3.2799869155883794,55
D,30.675377114006853,76.72446053180931,6.963972867094781,Speed Bump,3.5088348,0.65,0.7556247711181641,0.09819719922927883,2.2103953933715825,2.175648155212402,1.4559320211410522,2.2103953933715825,56
