t_start,t_end,t_mid,duration,event_type,severity,confidence,dip_magnitude,bump_magnitude,gyro_peak,accel_x_peak,total_z_dev
1308.8819999999978,1308.9349999999977,1308.9084999999977,0.052999999999883585,Rough Patch,0.9810776,0.3,1.2263470000000005,0.8631849999999996,0.025250046534610583,0.068195,1.2263470000000005
1323.6790000000037,1323.7109999999957,1323.6949999999997,0.03199999999196734,Rough Patch,0.862872,0.3,1.0785900000000002,0.9068539999999992,0.03461053140302819,0.541974,1.0785900000000002
1323.7829999999958,1323.843000000008,1323.813000000002,0.06000000001222361,Speed Bump,2.0956335,0.65,1.1120900000000002,1.507451999999999,0.0742970332180229,0.649053,1.507451999999999
1323.8840000000055,1323.9300000000076,1323.9070000000065,0.046000000002095476,Speed Bump,2.575156,0.65,2.531034000000001,0.6879109999999997,0.0742970332180229,0.452842,2.531034000000001
1348.3870000000024,1348.4260000000068,1348.4065000000046,0.03900000000430737,Rough Patch,0.5139992,0.3,0.6424990000000008,0.2787379999999988,0.012632350573032716,0.57667,0.6424990000000008
1380.9079999999958,1380.9850000000006,1380.9464999999982,0.07700000000477303,Speed Bump,2.632104,0.65,2.5800860000000005,0.7100439999999999,0.08046437829250905,0.704088,2.5800860000000005
1393.9619999999995,1393.979999999996,1393.9709999999977,0.017999999996391125,Rough Patch,0.7958728,0.3,0.994841000000001,0.6705629999999996,0.031987264137465714,0.384048,0.994841000000001
1399.0910000000003,1399.2100000000064,1399.1505000000034,0.1190000000060536,Speed Bump,4.1587257,0.65,2.3988300000000002,2.7995769999999993,0.28582612234713606,0.745364,2.7995769999999993
1412.9619999999995,1413.078999999998,1413.0204999999987,0.11699999999837019,Speed Bump,7.199525,0.65,5.666229,3.333176999999999,0.20647784948027717,0.982254,5.666229
1434.8530000000028,1434.892000000007,1434.872500000005,0.03900000000430737,Speed Bump,2.6397624,0.65,2.264832,1.034870999999999,0.05765154182673695,0.695115,2.264832
1454.9070000000065,1454.9809999999998,1454.9440000000031,0.07399999999324791,Speed Bump,5.342216,0.65,2.7762980000000006,3.901472,0.15322662615550864,0.765105,3.901472
1455.025999999998,1455.0850000000064,1455.0555000000022,0.0590000000083819,Speed Bump,4.982335,0.65,4.024155,2.2037639999999996,0.1127114204018386,0.547358,4.024155
1484.6959999999963,1484.724000000002,1484.7099999999991,0.02800000000570435,Road Bump,1.6501125,0.5,0.0,1.1000750000000004,0.03857248206947538,0.772283,1.1000750000000004
