X_min,X_max,X_mean,X_std,Y_min,Y_max,Y_mean,Y_std,Z_min,Z_max,Z_mean,Z_std,mag_min,mag_max,mag_mean,mag_std,is_pothole,n_samples,trip,window_start
-106.0,121.0,-5.238095238095238,61.39792517194291,-44.0,485.0,146.76190476190476,154.38939784778117,-497.0,4.0,-214.38095238095238,145.42302044478188,37.589892258425,623.3024947808246,288.4818685255975,181.81733928675004,0,21,5,18.0
-340.0,66.0,-70.92857142857143,102.21508435347376,-64.0,483.0,181.57142857142858,173.80067165977167,-512.0,-41.0,-226.42857142857142,126.81184841314783,57.83597496368502,781.6859983394867,325.21633051696597,200.5969194164388,1,14,5,20.0
-385.0,71.0,-24.0,118.46096403457132,-140.0,511.0,107.0,154.8197877103139,-512.0,84.0,-151.91666666666666,168.82015002823437,39.370039370059054,819.4449340864827,239.05763243211666,210.84954756717957,1,12,5,22.0
-183.0,269.0,25.0,119.55795775755746,-269.0,511.0,144.68421052631578,193.59182579295648,-512.0,31.0,-223.3684210526316,154.94692148104878,47.34976240700686,743.4204732182186,329.7793659931852,196.15807609620467,0,19,5,24.0
-281.0,110.0,-31.363636363636363,105.64457799387593,52.0,367.0,153.8181818181818,104.96996815697351,-415.0,10.0,-225.9090909090909,126.97992292660395,94.30800602281866,621.1883772254597,301.4214536696012,152.07599175315113,1,11,5,26.0
-148.0,161.0,-8.058823529411764,89.70702024350635,-39.0,360.0,125.0,125.5093153327438,-461.0,-77.0,-240.58823529411765,91.64064011351746,113.03981599418853,466.1737873368686,306.7267592510617,108.11698938943564,0,17,5,28.0
-153.0,175.0,-9.625,77.7414585340409,-42.0,510.0,112.6875,135.24501781489033,-396.0,68.0,-164.6875,133.5714784066943,58.18934610390462,663.5698908178399,242.19206028906538,153.0763892079302,0,16,5,30.0
-98.0,78.0,9.3125,47.35599057933431,67.0,421.0,169.875,114.76109695798485,-512.0,-25.0,-217.5625,125.5423079832054,90.49861877399013,604.4410641245348,287.2441616369987,157.93049612236945,0,16,5,32.0
-198.0,157.0,-40.266666666666666,99.13927352747527,-10.0,511.0,171.53333333333333,149.00866492329305,-368.0,-1.0,-179.66666666666666,113.07676841666265,48.45616575834287,580.7150764359403,287.48002790064044,159.68395940601025,0,15,5,34.0
-190.0,231.0,-2.466666666666667,97.92368910988233,-61.0,374.0,87.6,104.86486542212315,-462.0,122.0,-173.2,149.24396135187516,78.67655305108377,471.82200033487203,257.38302361455095,119.54711409467335,0,15,5,36.0
-234.0,278.0,-10.666666666666666,128.02083163818824,4.0,256.0,107.44444444444444,80.65855484160254,-411.0,-10.0,-201.88888888888889,120.52334439107585,109.54907576059234,437.0045766350737,275.70318524900296,117.58390989321698,0,9,5,38.0
-157.0,318.0,-29.0,106.60541396061593,-312.0,197.0,77.57142857142857,127.54030975438667,-424.0,34.0,-234.92857142857142,104.86757927821864,56.621550667568265,545.0357786420998,291.15649504078,126.11942626448364,1,14,5,40.0
-164.0,-9.0,-64.18181818181819,54.39220897053378,-15.0,154.0,98.54545454545455,50.323252598238476,-281.0,-206.0,-235.9090909090909,23.309984382251876,242.19413700583257,314.1225875355034,273.9394313623905,21.796720757013315,0,11,5,42.0
-133.0,242.0,63.1,113.95652679859982,-85.0,477.0,188.8,173.33020509997672,-397.0,-83.0,-235.3,91.76497153053556,91.7551088495894,634.686536803799,346.4959415260587,162.43140861905408,1,10,6,0.0
-243.0,107.0,-55.53333333333333,102.48763611068193,-103.0,511.0,170.6,227.67104925015536,-512.0,-35.0,-269.4,177.6452645020407,50.37856687124,752.6812074178549,367.86843439181996,251.6607802408724,1,15,6,2.0
-265.0,135.0,-55.5,162.71063271956137,-128.0,506.0,162.0,226.02212281102044,-512.0,55.0,-190.5,204.19659644568026,148.03377992877165,767.0756155686348,355.80860998625184,241.39538740342846,1,4,6,4.0
-388.0,223.0,-60.588235294117645,161.42274015163505,-152.0,511.0,233.1764705882353,208.93799679615555,-512.0,132.0,-260.05882352941177,204.13100481805228,61.94352266379432,776.5886942262293,430.2693933948106,227.86596096496123,1,17,6,6.0
-197.0,410.0,-8.875,117.23633982259938,-275.0,511.0,170.91666666666666,177.04470166850203,-396.0,-7.0,-196.625,121.86085387987947,40.07492981902776,642.3106724942378,307.99572888500285,181.74308145088355,1,24,6,8.0
-294.0,200.0,-41.473684210526315,121.10646400282975,-84.0,504.0,103.94736842105263,142.51296291333622,-512.0,48.0,-240.47368421052633,175.85022587150172,25.317977802344327,760.915895483857,312.931535375546,195.77178297601696,1,19,6,10.0
-205.0,242.0,39.8125,124.4318180520963,-72.0,511.0,192.3125,173.89102864653483,-512.0,48.0,-240.6875,156.90670745302765,59.033888572581766,723.5260879885396,360.9996078288352,191.10199017128826,1,16,6,12.0
-236.0,225.0,2.2222222222222223,98.29672890579954,-35.0,375.0,140.03703703703704,109.65889249090546,-437.0,36.0,-201.4814814814815,108.4327305958486,61.40846847137616,537.87080233082,274.356238024346,135.58660970465513,1,27,6,14.0
