route,latitude,longitude,speed,event_type,severity,confidence,gyro_peak,z_kurtosis,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
Route_2,30.643307436474124,76.74251961621513,6.472011643751487,Pothole,3.4735508,0.75684434,0.5733362640864833,0.2593828626968815,2.2750015830993657,1.4452394866943354,3.0574002265930176,2.2750015830993657,84
Route_2,30.64320976419061,76.74244443226154,6.647300741926847,Pothole,6.2019567,0.95441234,1.8539581839960209,0.37435656802855277,2.4191690063476567,3.317623558044433,8.850545883178711,3.317623558044433,84
Route_2,30.64316967017971,76.74230160183312,7.7070818469074505,Pothole,10.0,1.0,2.9610532480932523,0.3337492174638439,9.400229123830796,3.576048316955566,10.920812606811523,9.400229123830796,84
Route_2,30.64313521354063,76.74211261416868,9.509989106052673,Pothole,10.0,1.0,3.106532937250855,3.3392336601947186,12.838715372085572,3.964283409118652,8.390514373779297,12.838715372085572,84
Route_2,30.643066246892353,76.74194156377716,9.084211299544029,Pothole,10.0,0.95,12.474533137524014,11.147909442226476,18.440910873413088,36.46778625488281,32.78784942626953,36.46778625488281,84
Route_2,30.64297809809679,76.74177720637788,9.60847629922749,Speed Bump,8.622058,0.55,0.3154085959436447,-1.4027552963211358,6.982281742095948,7.3878149414062495,1.1822903156280518,7.3878149414062495,26
Route_2,30.642874060412858,76.74159883684798,10.822896139204627,Speed Bump,9.37472,0.55,0.487565767571509,-0.9819628908272855,6.7047143554687505,8.91981834411621,1.2475978136062622,8.91981834411621,27
Route_2,30.64276007207998,76.7414000900274,11.975249264806253,Pothole,6.800418,0.795771,0.5152525321815534,-1.1535670440896617,6.000626382827759,6.052021446228027,0.893845796585083,6.052021446228027,85
Route_2,30.642634046121355,76.74118054701626,13.186284171711625,Pothole,10.0,0.9270733,0.6321140532018815,0.6279255817880225,9.1992320394516,7.306458892822265,1.395940899848938,9.1992320394516,86
Route_2,30.642496229091428,76.74094036915326,14.37362780088,Speed Bump,5.7115483,0.55,0.36232799159664947,0.7440143049560684,5.071612892150879,4.4476341629028315,0.9229464530944824,5.071612892150879,28
Route_2,30.642346986285247,76.74068398487458,15.29087556057359,Speed Bump,4.8555155,0.55,0.37084194571086093,0.3957648213368463,5.09554105758667,2.996984901428224,1.2716575860977173,5.09554105758667,29
Route_2,30.642191537846486,76.74041816589549,15.541972812192977,Pothole,10.0,1.0,1.6138373191300621,9.409561573071409,11.718276081085206,10.844844284057617,1.8948237895965576,11.718276081085206,87
Route_2,30.6420389338992,76.7401629954241,14.679834905410758,Pothole,10.0,1.0,2.0560218078262347,4.0472882664166505,12.886571702957154,20.733184280395506,5.166575908660889,20.733184280395506,88
Route_2,30.641902338603874,76.7399230019274,13.549117006987748,Speed Bump,6.4153967,0.55,0.25520005613994057,2.0827553633350933,4.956757602691651,5.735570373535156,1.6255486011505127,5.735570373535156,30
Route_2,30.641775076143098,76.73973178944459,10.691360484601665,Pothole,9.243598,0.9350831,0.5345262625524577,2.4169511745700927,7.691155490875245,6.2530187988281245,2.194983959197998,7.691155490875245,89
Route_2,30.641651109306068,76.73961689820302,8.728949126640947,Speed Bump,7.366544,0.55,0.31541571957211245,1.732705422222419,6.632929620742798,5.64464324951172,2.2048165798187256,6.632929620742798,31
Route_2,30.64153968363951,76.73949627517923,8.166329410678472,Pothole,10.0,1.0,2.2992789790088035,4.175076167867304,6.637715396881104,6.363088073730468,23.60575294494629,6.637715396881104,90
Route_2,30.641495263020897,76.73934831352804,7.845985432959918,Pothole,10.0,0.95,2.9704472153211956,-0.11951380773575293,6.76692777633667,7.397386016845703,39.85488128662109,7.397386016845703,90
Route_2,30.64145782397422,76.73916993270448,9.106915842972725,Speed Bump,6.90102,0.55,0.41742256752971657,1.8399260527520314,4.980685768127442,6.52101463317871,6.259400844573975,6.52101463317871,32
Route_2,30.64136392438451,76.73897996339926,10.993415876511953,Speed Bump,6.305028,0.65,0.295943105057141,0.5272462854127444,4.7461891746521,4.260993423461914,2.853177309036255,4.7461891746521,33
Route_2,30.64124589965075,76.7387641551638,12.27297427688903,Speed Bump,6.7542205,0.55,0.3441168762347852,0.3146466843366582,5.34439474105835,5.912639083862304,2.6538450717926025,5.912639083862304,34
Route_2,30.641117976525365,76.73853402836285,13.061257674266043,Speed Bump,9.934999,0.55,0.44523681320254127,1.7164591107598106,10.506311414241791,6.052021446228027,4.093058109283447,10.506311414241791,35
Route_2,30.640977641258576,76.73828888959969,14.225032176219008,Pothole,10.0,1.0,1.262063465353475,1.4015027398791604,10.324456868171692,13.665385665893554,6.056623458862305,13.665385665893554,91
