Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Speed,Pothole
19:05:18.245,Gyroscope,0.009188,0.004927,-0.001198,,,0.00,0
19:05:18.259,Accelerometer,-0.061615,2.170888,9.388838,,,0.00,0
19:05:18.274,Gyroscope,0.006258,-0.014914,0.002530,,,0.00,0
19:05:18.281,Accelerometer,-0.061615,2.170888,9.388838,,,0.00,0
19:05:18.288,Gyroscope,0.008256,-0.003995,0.003329,,,0.00,0
19:05:18.289,Accelerometer,0.179462,2.188236,9.698111,,,0.00,0
19:05:18.289,Gyroscope,0.008256,-0.003995,0.003329,,,0.00,0
19:05:18.314,Accelerometer,0.032303,2.075176,9.408579,,,0.00,0
19:05:18.318,Gyroscope,0.002663,-0.010653,0.004661,,,0.00,0
19:05:18.345,Accelerometer,0.324826,2.012962,9.450453,,,0.00,0
19:05:18.346,Gyroscope,-0.000000,-0.005859,0.005726,,,0.00,0
19:05:18.347,Accelerometer,0.324826,2.012962,9.450453,,,0.00,0
19:05:18.370,Gyroscope,0.000266,0.002397,0.003462,,,0.00,0
19:05:18.378,Accelerometer,0.167498,2.271387,9.512068,,,0.00,0
19:05:18.380,Gyroscope,0.000266,0.002397,0.003462,,,0.00,0
19:05:18.396,Accelerometer,0.342772,2.093720,9.549755,,,0.00,0
19:05:18.396,Gyroscope,0.001864,0.005726,0.002397,,,0.00,0
19:05:18.414,Accelerometer,0.425922,1.973480,9.648459,,,0.00,0
19:05:18.438,Gyroscope,0.004128,0.004927,0.000533,,,0.00,0
19:05:18.444,Accelerometer,0.250648,1.889732,9.472587,,,0.00,0
19:05:18.445,Gyroscope,0.004128,0.004927,0.000533,,,0.00,0
19:05:18.445,Accelerometer,0.250648,1.889732,9.472587,,,0.00,0
19:05:18.464,Gyroscope,-0.006791,0.002530,0.004927,,,0.00,0
19:05:18.479,Accelerometer,-0.128016,1.913660,9.428918,,,0.00,0
19:05:18.479,Gyroscope,-0.006791,0.002530,0.004927,,,0.00,0
19:05:18.504,Accelerometer,0.348156,1.990828,9.740582,,,0.00,0
19:05:18.504,Gyroscope,-0.008655,-0.000266,0.009454,,,0.00,0
19:05:18.505,Gyroscope,-0.008655,-0.000266,0.009454,,,0.00,0
19:05:18.521,Accelerometer,0.108873,2.094916,9.770494,,,0.00,0
19:05:18.532,Accelerometer,0.108873,2.094916,9.770494,,,0.00,0
19:05:18.535,Gyroscope,-0.003595,0.011585,0.009854,,,0.00,0
19:05:18.558,Accelerometer,0.409173,2.134398,9.206385,,,0.00,0
19:05:18.559,Gyroscope,-0.001598,0.006258,0.011585,,,0.00,0
19:05:18.570,Accelerometer,0.409173,2.134398,9.206385,,,0.00,0
19:05:18.587,Gyroscope,-0.014514,-0.003595,0.006658,,,0.00,0
19:05:18.598,Accelerometer,0.165703,1.773680,10.107283,,,0.00,0
19:05:18.599,Gyroscope,-0.014514,-0.003595,0.006658,,,0.00,0
19:05:18.599,Accelerometer,0.165703,1.773680,10.107283,,,0.00,0
19:05:18.627,Gyroscope,-0.003862,0.009587,0.004394,,,0.00,0
19:05:18.629,Accelerometer,0.159721,1.744966,10.012766,,,0.00,0
19:05:18.629,Gyroscope,-0.003862,0.009587,0.004394,,,0.00,0
19:05:18.654,Accelerometer,0.074776,1.837090,9.421740,,,0.00,0
19:05:18.667,Gyroscope,-0.008522,0.004261,0.003196,,,0.00,0
19:05:18.668,Accelerometer,0.154935,1.897508,9.476774,,,0.00,0
19:05:18.669,Gyroscope,-0.008522,0.004261,0.003196,,,0.00,0
19:05:18.697,Accelerometer,0.116650,1.837090,10.041480,,,0.00,0
19:05:18.698,Gyroscope,-0.007191,-0.002397,0.003728,,,0.00,0
19:05:18.712,Accelerometer,0.116650,1.837090,10.041480,,,0.00,0
19:05:18.726,Gyroscope,0.003063,0.003995,0.005326,,,0.00,0
19:05:18.727,Accelerometer,0.056830,1.805983,10.012168,,,0.00,0
19:05:18.728,Gyroscope,0.003063,0.003995,0.005326,,,0.00,0
19:05:18.755,Accelerometer,0.110070,1.733600,9.422935,,,0.00,0
19:05:18.770,Gyroscope,-0.004128,-0.005326,0.010519,,,0.00,0
19:05:18.771,Accelerometer,-0.097508,2.056033,9.498309,,,0.00,0
19:05:18.771,Gyroscope,-0.004128,-0.005326,0.010519,,,0.00,0
19:05:18.796,Accelerometer,0.087338,1.782055,9.717253,,,0.00,0
19:05:18.797,Gyroscope,0.002530,0.003995,0.011984,,,0.00,0
19:05:18.797,Accelerometer,0.087338,1.782055,9.717253,,,0.00,0
19:05:18.825,Gyroscope,0.008256,0.007590,0.011452,,,0.00,0
19:05:18.839,Accelerometer,0.208176,2.218147,9.900304,,,0.00,0
19:05:18.842,Gyroscope,0.008256,0.007590,0.011452,,,0.00,0
19:05:18.870,Accelerometer,0.223729,2.157130,9.393025,,,0.00,0
19:05:18.871,Gyroscope,0.012783,0.002796,0.010120,,,0.00,0
19:05:18.871,Accelerometer,0.223729,2.157130,9.393025,,,0.00,0
19:05:18.872,Gyroscope,0.012783,0.002796,0.010120,,,0.00,0
19:05:18.900,Accelerometer,-0.090329,2.282155,9.318848,,,0.00,0
19:05:18.901,Gyroscope,0.008522,0.001465,0.013316,,,0.00,0
19:05:18.902,Accelerometer,-0.090329,2.282155,9.318848,,,0.00,0
19:05:18.917,Gyroscope,0.008522,0.001465,0.013316,,,0.00,0
19:05:18.929,Accelerometer,-0.184247,2.416153,9.312865,,,0.00,0
19:05:18.942,Gyroscope,0.008389,0.014514,0.020506,,,0.00,0
19:05:18.945,Accelerometer,0.026919,2.336591,9.788439,,,0.00,0
19:05:18.957,Gyroscope,0.008389,0.014514,0.020506,,,0.00,0
19:05:18.959,Accelerometer,0.127418,2.172683,9.348758,,,0.00,0
19:05:18.985,Gyroscope,0.000666,0.002530,0.020107,,,0.00,0
19:05:18.997,Accelerometer,0.273978,1.961516,9.287741,,,0.00,0
19:05:18.998,Gyroscope,0.000666,0.002530,0.020107,,,0.00,0
19:05:19.011,Accelerometer,0.273978,1.961516,9.287741,,,0.00,0
19:05:19.024,Gyroscope,-0.005060,-0.001598,0.019841,,,0.00,0
19:05:19.038,Accelerometer,0.117847,2.532205,9.787243,,,0.00,0
19:05:19.039,Gyroscope,-0.005060,-0.001598,0.019841,,,0.00,0
19:05:19.077,Accelerometer,-0.016152,1.891526,9.850653,,,0.00,0
